id,uf_id,favorite_cart_id,order_id,unit_price_stamp,date_for_order,product_id,quantity,ts_ordered,name,provider_id,arrived,revised,shop_quantity
231983,20,,1061,1.95,2018-04-05,565,1,"2018-04-01 12:16:33","Alls tendres ",2,1,0,
231960,4,,1061,1.95,2018-04-05,565,1,"2018-04-01 11:47:12","Alls tendres ",2,1,0,
231954,4,,1061,3.24,2018-04-05,568,1,"2018-04-01 11:47:12","Maitake, Gírgola de castanyer (caixeta)",2,1,0,
231974,20,,1061,3.24,2018-04-05,568,1,"2018-04-01 12:16:33","Maitake, Gírgola de castanyer (caixeta)",2,1,0,
231977,20,,1061,1.14,2018-04-05,570,1,"2018-04-01 12:16:33","Enciam Fulla de Roure ",2,1,0,
232182,10,,1061,1.14,2018-04-05,570,1,"2018-04-01 14:47:51","Enciam Fulla de Roure ",2,1,0,
232348,6,,1061,2.35,2018-04-05,574,2,"2018-04-01 17:23:00",Mandarina,2,1,0,
232178,10,,1061,2.35,2018-04-05,574,1,"2018-04-01 14:47:51",Mandarina,2,1,0,
231947,4,,1061,2.87,2018-04-05,726,1,"2018-04-01 11:47:12","Tomàquet pera",2,1,0,
232428,7,,1061,2.87,2018-04-05,726,1,"2018-04-01 20:39:01","Tomàquet pera",2,1,0,
231964,20,,1061,2.87,2018-04-05,726,1,"2018-04-01 12:16:33","Tomàquet pera",2,1,0,
231811,8,,1061,7.15,2018-04-05,797,0.5,"2018-04-01 10:20:10","Xampinyó ""ros""",2,1,0,
